datetime_from,datetime_to,value,reading_date,latitude,longitude,first_read_at,last_read_at,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,dayofyear,dayofweek,month,season_sin,season_cos,temp_range,precip_intensity,wind_gust_ratio,pressure_temp_ratio,lat_long_product,lat_long_magnitude,value_per_temp,value_per_wind,metric_no2,metric_o3,metric_pm10,metric_pm25,metric_so2,measurement_no₂ mass,measurement_o₃ mass,measurement_pm10,measurement_pm2.5,measurement_so₂ mass,measurement_name_no2,measurement_name_o3,measurement_name_pm10,measurement_name_pm25,measurement_name_so2,"location_name_Warszawa, al. Niepodległości","location_name_Warszawa, ul. Chrościckiego","location_name_Warszawa, ul. Kondratowicza","location_name_Warszawa, ul. Tołstoja","location_name_Warszawa, ul. Wokalna",sensor_id_26099,sensor_id_35053,sensor_id_35054,sensor_id_35055,sensor_id_35986,sensor_id_35988,sensor_id_35990,sensor_id_35993,sensor_id_35994,sensor_id_35996,sensor_id_36160,sensor_id_36161,sensor_id_36162,sensor_id_36163,sensor_id_36297,sensor_id_36300,sensor_id_386025,location_id_6386,location_id_7245,location_id_10775,location_id_10776,location_id_60175
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,-0.2942403947016243,2022-12-31,1.43264497091142,-0.8121242352786121,2018-11-21 18:00:00,2025-12-27 06:00:00,0.6107273748089171,0.7679308558702574,0.5222743971707765,0.5243400344446173,2.0692978541682034,0.0,0.8260149764688272,0.0,0.09583265711072021,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,-0.04633034936467021,-0.1769404098197413,0.8260149764688267,-0.2654699718475077,-0.34070520905511836,0.9817928920414226,-0.2399893364078522,-0.5175682748644919,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,1.1588308393721598,2022-12-31,-1.3368464778911369,1.0194958051962228,2018-11-21 18:00:00,2025-12-27 15:00:00,-0.5074106614927811,-0.5666465038868307,-0.445597441770234,0.04999351207905127,0.04229861543561304,0.0,0.2052009569952995,0.0,0.1347683787105246,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,-0.09731744334192893,-0.1616156639771332,0.20520095699529897,-0.19784322225280962,0.5754941327459715,-0.7929111181780157,-0.04565024967663141,0.5487506011364653,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,-0.6266773560026376,2022-12-31,-1.3368464778911369,1.0194958051962228,2018-11-21 18:00:00,2025-12-27 15:00:00,-0.0007943429853753508,0.288082816407035,-0.16542401470836296,-0.6067939804271173,0.13882238870859365,0.0,-0.20171915660919687,0.0,-0.7826545614843929,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,-0.8065015686619634,-0.25491955480053424,-0.20171915660919723,-0.24113497030286196,0.5754941327459715,-0.7929111181780157,-0.2435451590660342,-0.5586240413391785,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,-0.864745115385944,2022-12-31,-1.3368464778911369,1.0194958051962228,2018-11-21 18:00:00,2025-12-27 15:00:00,0.4930286341455809,0.288082816407035,0.4798238779189776,0.32365496728995485,0.04229861543561304,0.0,0.147814787127999,0.0,-0.3835634150866191,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,0.6025963012549677,-0.18710091103474957,0.14781478712799845,-0.26208110545102536,0.5754941327459715,-0.7929111181780157,-0.2662294774645705,-0.7768759138440242,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,-0.9639400151289883,2022-12-31,-0.2903302541169136,-1.301732496025433,2019-01-04 09:00:00,2025-12-27 15:00:00,0.1706364314590498,0.16512175629458434,0.09776920465278882,0.9257101687539427,-0.729891570748231,0.0,0.3304071457966837,0.0,-0.8288907308841503,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,-0.04169515900310393,-0.12242894862885104,0.33040714579668323,-0.24987921001294533,-1.384422182612482,-0.8853314952720331,-0.2682209690210662,-0.8558298709920463,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,1.137383293481772,2022-12-31,-0.2903302541169136,-1.301732496025433,2019-01-04 09:00:00,2025-12-27 15:00:00,0.36253655210579394,0.5549982883584526,0.28455148936070324,1.1446393329226654,-0.05422515783736733,0.0,-0.2956237982102349,0.0,0.3367474345094028,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,-0.23637315418899477,-0.11860323203726746,-0.29562379821023554,-0.25711069469516046,-1.384422182612482,-0.8853314952720331,-0.15621877009693655,0.8488705690940507,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,-0.5194396265506978,2022-12-31,-0.2903302541169136,-1.301732496025433,2019-01-04 09:00:00,2025-12-27 15:00:00,-0.15431443950277116,0.10813980160832626,-0.2375898974364205,-0.24191204014591247,1.5866789878033012,0.0,0.15303171166139032,0.0,-0.5879759534854816,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,-0.6859866192611727,-0.21609005680130067,0.15303171166138987,-0.2313741707195452,-1.384422182612482,-0.8853314952720331,-0.23078573767817284,-0.5462891745660496,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,-0.8164881371325711,2022-12-31,-0.2903302541169136,-1.301732496025433,2019-01-04 09:00:00,2025-12-27 15:00:00,-0.28736518981784753,-0.191765223056188,-0.28853052053857897,1.8014268254288337,-0.15074893111034793,0.0,0.27302097592938224,0.0,-0.7680536658844871,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,-0.3337121517819402,0.02811473784448143,0.27302097592938157,-0.22131884066792182,-1.384422182612482,-0.8853314952720331,-0.24917177544222996,-0.757205243859972,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,-1.119434722834301,2022-12-31,-0.2903302541169136,-1.301732496025433,2019-01-04 09:00:00,2025-12-27 15:00:00,-0.12616908847458186,-0.27573862996225207,-0.059297716578866025,-0.42435301028651484,1.1040601214383987,0.0,0.5860364479328415,0.0,-0.19375177228766255,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,0.29667373739142355,-0.2358854871538511,0.5860364479328409,-0.23298455676829424,-1.384422182612482,-0.8853314952720331,-0.2755095169981717,-0.9619274943013957,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-12-31 23:00:00+00:00,2023-01-01 23:00:00+00:00,-1.2589510088512745,2022-12-31,-0.03285651797183143,0.4908206403672978,2018-11-21 18:00:00,2025-12-27 15:00:00,-0.269454511890818,-0.254745278235736,-0.27791789072562934,2.23928515376628,0.9110125748924375,0.0,0.7112426367342253,0.0,-0.4760357538860923,0.0,1.6968329318604827,0.9850140073141723,1.5282039205924896,0.11795280861908272,1.559275948315223,-0.21319720238115017,0.07493895295533104,0.7112426367342248,-0.22256099186879785,0.47604025363701374,0.19807832389740004,-0.2854303834797789,-1.044041359116138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
