sensor_id,datetime_from,datetime_to,timestamp_rollup,value,metric_name,units
26098,2023-04-12T22:00:00Z,2023-04-13T22:00:00Z,daily,48.8,pm10,µg/m³
26098,2023-04-13T22:00:00Z,2023-04-14T22:00:00Z,daily,31.7,pm10,µg/m³
26098,2023-04-14T22:00:00Z,2023-04-15T22:00:00Z,daily,9.05,pm10,µg/m³
26098,2023-04-15T22:00:00Z,2023-04-16T22:00:00Z,daily,18.4,pm10,µg/m³
26098,2023-04-16T22:00:00Z,2023-04-17T22:00:00Z,daily,22.2,pm10,µg/m³
26098,2023-04-18T22:00:00Z,2023-04-19T22:00:00Z,daily,23.9,pm10,µg/m³
26098,2023-04-19T22:00:00Z,2023-04-20T22:00:00Z,daily,39.3,pm10,µg/m³
26098,2023-04-20T22:00:00Z,2023-04-21T22:00:00Z,daily,31.1,pm10,µg/m³
26098,2023-04-21T22:00:00Z,2023-04-22T22:00:00Z,daily,44.8,pm10,µg/m³
26098,2023-04-22T22:00:00Z,2023-04-23T22:00:00Z,daily,25.5,pm10,µg/m³
26098,2023-04-23T22:00:00Z,2023-04-24T22:00:00Z,daily,47.6,pm10,µg/m³
26098,2023-04-25T22:00:00Z,2023-04-26T22:00:00Z,daily,17.7,pm10,µg/m³
26098,2023-04-26T22:00:00Z,2023-04-27T22:00:00Z,daily,26.2,pm10,µg/m³
26098,2023-04-27T22:00:00Z,2023-04-28T22:00:00Z,daily,35.4,pm10,µg/m³
26098,2023-04-28T22:00:00Z,2023-04-29T22:00:00Z,daily,28.8,pm10,µg/m³
26098,2023-04-29T22:00:00Z,2023-04-30T22:00:00Z,daily,20.3,pm10,µg/m³
26098,2023-04-30T22:00:00Z,2023-05-01T22:00:00Z,daily,16.6,pm10,µg/m³
26098,2023-05-01T22:00:00Z,2023-05-02T22:00:00Z,daily,24.8,pm10,µg/m³
26098,2023-05-02T22:00:00Z,2023-05-03T22:00:00Z,daily,15.7,pm10,µg/m³
26098,2023-05-03T22:00:00Z,2023-05-04T22:00:00Z,daily,27.6,pm10,µg/m³
26098,2023-05-04T22:00:00Z,2023-05-05T22:00:00Z,daily,28.2,pm10,µg/m³
26098,2023-05-05T22:00:00Z,2023-05-06T22:00:00Z,daily,21.3,pm10,µg/m³
26098,2023-05-06T22:00:00Z,2023-05-07T22:00:00Z,daily,10.0,pm10,µg/m³
26098,2023-05-07T22:00:00Z,2023-05-08T22:00:00Z,daily,23.3,pm10,µg/m³
26098,2023-05-09T22:00:00Z,2023-05-10T22:00:00Z,daily,22.3,pm10,µg/m³
26098,2023-05-10T22:00:00Z,2023-05-11T22:00:00Z,daily,23.5,pm10,µg/m³
26098,2023-05-11T22:00:00Z,2023-05-12T22:00:00Z,daily,32.8,pm10,µg/m³
26098,2023-05-12T22:00:00Z,2023-05-13T22:00:00Z,daily,59.9,pm10,µg/m³
26098,2023-05-13T22:00:00Z,2023-05-14T22:00:00Z,daily,57.2,pm10,µg/m³
26098,2023-05-15T22:00:00Z,2023-05-16T22:00:00Z,daily,19.1,pm10,µg/m³
26098,2023-05-16T22:00:00Z,2023-05-17T22:00:00Z,daily,21.5,pm10,µg/m³
26098,2023-05-17T22:00:00Z,2023-05-18T22:00:00Z,daily,11.2,pm10,µg/m³
26098,2023-05-18T22:00:00Z,2023-05-19T22:00:00Z,daily,20.8,pm10,µg/m³
26098,2023-05-19T22:00:00Z,2023-05-20T22:00:00Z,daily,28.2,pm10,µg/m³
26098,2023-05-20T22:00:00Z,2023-05-21T22:00:00Z,daily,22.0,pm10,µg/m³
26098,2023-05-21T22:00:00Z,2023-05-22T22:00:00Z,daily,29.3,pm10,µg/m³
26098,2023-05-23T22:00:00Z,2023-05-24T22:00:00Z,daily,44.1,pm10,µg/m³
26098,2023-05-24T22:00:00Z,2023-05-25T22:00:00Z,daily,42.9,pm10,µg/m³
26098,2023-05-25T22:00:00Z,2023-05-26T22:00:00Z,daily,26.8,pm10,µg/m³
26098,2023-05-27T22:00:00Z,2023-05-28T22:00:00Z,daily,21.8,pm10,µg/m³
26098,2023-05-28T22:00:00Z,2023-05-29T22:00:00Z,daily,30.4,pm10,µg/m³
26098,2023-05-29T22:00:00Z,2023-05-30T22:00:00Z,daily,19.7,pm10,µg/m³
26098,2023-05-30T22:00:00Z,2023-05-31T22:00:00Z,daily,24.5,pm10,µg/m³
26098,2023-05-31T22:00:00Z,2023-06-01T22:00:00Z,daily,32.5,pm10,µg/m³
26098,2023-06-01T22:00:00Z,2023-06-02T22:00:00Z,daily,23.4,pm10,µg/m³
26098,2023-06-02T22:00:00Z,2023-06-03T22:00:00Z,daily,13.0,pm10,µg/m³
26098,2023-06-03T22:00:00Z,2023-06-04T22:00:00Z,daily,15.1,pm10,µg/m³
26098,2023-06-04T22:00:00Z,2023-06-05T22:00:00Z,daily,23.3,pm10,µg/m³
26098,2023-06-06T22:00:00Z,2023-06-07T22:00:00Z,daily,35.7,pm10,µg/m³
26098,2023-06-07T22:00:00Z,2023-06-08T22:00:00Z,daily,27.4,pm10,µg/m³
26098,2023-06-08T22:00:00Z,2023-06-09T22:00:00Z,daily,33.9,pm10,µg/m³
26098,2023-06-09T22:00:00Z,2023-06-10T22:00:00Z,daily,33.5,pm10,µg/m³
